Specimen properties : Specimen label,"Leather"
Specimen properties : Width,"37.69000",mm
Specimen properties : Thickness,"0.96000",mm
Specimen properties : Length,"105.31000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"73.00","61.269","338.2"
"73.25","61.477","339.6"
"73.50","61.685","341.1"
"73.75","61.893","342.5"
"74.00","62.102","343.9"
"74.25","62.310","345.3"
"74.50","62.519","346.7"
"74.75","62.727","348.2"
"75.00","62.935","349.7"
"75.25","63.144","351.0"
"75.50","63.352","352.5"
"75.75","63.560","354.1"
"76.00","63.769","355.6"
"76.25","63.977","357.1"
"76.50","64.185","358.7"
"76.75","64.394","360.3"
"77.00","64.602","361.7"
"77.25","64.810","363.2"
"77.50","65.019","364.6"
"77.75","65.227","366.0"
"78.00","65.436","367.4"
"78.25","65.644","368.7"
"78.50","65.852","370.2"
"78.75","66.061","371.6"
"79.00","66.269","372.9"
"79.25","66.476","374.3"
"79.50","66.685","375.7"
"79.75","66.894","377.2"
"80.00","67.102","378.6"
"80.25","67.310","380.0"
"80.50","67.519","381.5"
"80.75","67.727","382.8"
"81.00","67.936","384.1"
"81.25","68.144","385.4"
"81.50","68.352","386.7"
"81.75","68.560","387.9"
"82.00","68.769","389.1"
"82.25","68.977","390.3"
"82.50","69.185","391.7"
"82.75","69.394","393.0"
"83.00","69.602","394.2"
"83.25","69.810","395.4"
"83.50","70.019","396.6"
"83.75","70.227","397.9"
"84.00","70.435","399.2"
"84.25","70.643","400.5"
"84.50","70.852","401.9"
"84.75","71.060","403.4"
"85.00","71.269","404.7"
"85.25","71.477","406.0"
"85.50","71.685","407.5"
"85.75","71.894","409.1"
"86.00","72.102","410.5"
"86.25","72.310","412.0"
"86.50","72.518","413.5"
"86.75","72.727","415.0"
"87.00","72.936","416.4"
"87.25","73.143","417.8"
"87.50","73.352","419.3"
"87.75","73.560","420.7"
"88.00","73.769","422.0"
"88.25","73.977","423.2"
"88.50","74.185","424.6"
"88.75","74.394","425.8"
"89.00","74.602","427.0"
"89.25","74.810","428.2"
"89.50","75.019","429.4"
"89.75","75.227","430.6"
"90.00","75.436","431.7"
"90.25","75.644","432.8"
"90.50","75.852","434.0"
"90.75","76.060","435.2"
"91.00","76.269","436.4"
"91.25","76.477","437.4"
"91.50","76.685","438.6"
"91.75","76.894","439.7"
"92.00","77.102","440.8"
"92.25","77.310","441.9"
"92.50","77.518","443.1"
"92.75","77.727","444.4"
"93.00","77.936","445.7"
"93.25","78.144","446.9"
"93.50","78.351","448.2"
"93.75","78.560","449.5"
"94.00","78.769","450.7"
"94.25","78.977","451.9"
"94.50","79.185","453.1"
"94.75","79.394","454.3"
"95.00","79.602","455.6"
"95.25","79.810","456.7"
"95.50","80.019","458.0"
"95.75","80.227","459.3"
"96.00","80.436","460.5"
"96.25","80.644","461.6"
"96.50","80.852","462.8"
"96.75","81.060","463.9"
"97.00","81.269","465.0"
"97.25","81.477","466.1"
"97.50","81.685","467.1"
"97.75","81.893","468.2"
"98.00","82.102","469.2"
"98.25","82.310","470.1"
"98.50","82.518","471.1"
"98.75","82.727","472.2"
"99.00","82.936","473.2"
"99.25","83.144","474.2"
"99.50","83.351","475.2"
"99.75","83.560","476.3"
"100.00","83.769","477.3"
"100.25","83.977","478.2"
"100.50","84.185","479.2"
"100.75","84.394","480.2"
"101.00","84.602","481.1"
"101.25","84.810","481.8"
"101.50","85.018","482.4"
"101.75","85.226","482.0"
"101.88","85.339","480.0"
"101.92","85.372","477.9"
"101.94","85.389","475.7"
"101.96","85.401","473.4"
"101.97","85.409","471.2"
"101.98","85.415","468.8"
"101.98","85.421","466.3"
"101.99","85.425","461.5"
"101.99","85.427","453.7"
"101.99","85.430","440.2"
"101.99","85.432","421.8"
"101.99","85.435","400.4"
"102.00","85.438","376.8"
"102.00","85.440","351.7"
"102.00","85.442","325.5"
"102.00","85.444","299.0"
"102.00","85.446","272.4"
