Specimen properties : Specimen label,"Claire's Strip"
Specimen properties : Width,"43.52000",mm
Specimen properties : Thickness,"0.82500",mm
Specimen properties : Length,"105.25000",mm
Test : Rate 1,"50.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"82.25","68.543","466.3"
"82.50","68.751","467.5"
"82.75","68.959","468.7"
"83.00","69.168","469.9"
"83.25","69.376","471.0"
"83.50","69.584","472.1"
"83.75","69.792","473.4"
"84.00","70.001","474.6"
"84.25","70.210","475.7"
"84.50","70.417","476.8"
"84.75","70.626","478.0"
"85.00","70.835","479.2"
"85.25","71.043","480.1"
"85.50","71.251","481.0"
"85.75","71.459","481.9"
"86.00","71.668","482.9"
"86.25","71.876","483.6"
"86.50","72.084","484.2"
"86.75","72.292","484.6"
"87.00","72.501","484.3"
"87.25","72.710","482.7"
"87.37","72.811","480.7"
"87.45","72.879","478.6"
"87.50","72.919","476.6"
"87.54","72.948","474.5"
"87.56","72.969","472.5"
"87.58","72.986","470.4"
"87.60","72.999","468.4"
"87.61","73.011","466.1"
"87.62","73.021","463.7"
"87.63","73.029","461.2"
"87.64","73.036","458.9"
"87.65","73.042","456.3"
"87.66","73.047","454.1"
"87.66","73.053","451.6"
"87.67","73.058","448.8"
"87.67","73.061","446.5"
"87.68","73.065","443.8"
"87.68","73.068","440.1"
"87.68","73.070","437.1"
"87.68","73.072","432.0"
"87.69","73.075","422.9"
"87.69","73.077","408.9"
"87.69","73.080","390.9"
"87.69","73.082","370.2"
"87.69","73.084","347.6"
"87.70","73.086","323.6"
"87.70","73.088","298.8"
"87.70","73.090","273.8"
